## source: derived from David S. Jacks,
## http://www.sfu.ca/~djacks/data/boombust/index.html
Beef,Hides,Lamb,Pork,Coal,Natural gas,Petroleum,Barley,Corn,Rice,Rye,Wheat,Aluminum,Chromium,Copper,Lead,Manganese,Nickel,Steel,Tin,Zinc,Bauxite,Iron ore,Phosphate,Potash,Sulfur,Gold,Platinum,Silver,Cocoa,Coffee,Cotton,Cottonseed,Palm oil,Peanuts,Rubber,Sugar,Tea,Tobacco,Wool
1900,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1901,98.79,95.25,90.41,115.35,99.74,79.03,88.37,110.19,129.32,88.79,108.45,100.45,99.69,104.08,98.3,97.89,111.7,111.36,88.36,82.25,91.5,94.83,70.62,98.51,108.56,51.98,98.79,112.21,85.07,92.91,77.71,99.37,98.79,93.6,92.41,86.99,79.94,94.48,100.3,82.93
1902,97.6,94.59,90.98,133.95,105.11,78.33,89.28,108.63,152.91,84.86,97.41,102.87,98.5,81.92,66.49,90.9,111.43,88.02,95.78,87.45,108.83,88.49,75.59,85.64,82.45,44.94,97.6,127.79,73.35,92.37,68.64,101.39,106.35,97.6,107.05,83.36,63.11,98.91,104.65,88.91
1903,90.87,88.12,93.81,113.47,113.78,76.66,112.12,104.81,114.99,104.92,101.9,106.48,96.3,71.57,78.04,92.59,178.93,76.52,92.46,89.66,122.79,83.72,76.34,89.32,87.29,46,95.43,122.7,82.47,90.89,65.98,120.87,109.25,97.1,110.82,103.9,66.09,73.65,108.17,93.71
1904,94.32,95.05,94.32,95.96,99.76,74.38,113.5,95.48,124.54,86.48,130.28,137.84,100.96,77.48,74.69,93.03,97.74,75.63,77.92,88.3,110.51,79.23,62.21,92.22,103.94,98.88,94.32,113.96,89.08,92.08,90.31,114.75,98.23,94.32,139.96,115.22,86.99,87.36,103.61,99.37
1905,95.1,119.72,95.43,98.74,97.26,66.8,97.69,92.38,125.36,98.43,114.86,135.88,102.14,73.27,91.89,102.85,117.23,76.52,87.72,100.1,129.05,99.5,71.06,92.24,110.68,140.25,95.43,128.22,96.46,91.45,96.11,108.18,99.38,93.76,123.13,124.61,94.08,85.82,100.86,122.7
1906,93.35,132.64,94.93,115.55,99.63,60.15,110.29,95.87,112.92,113.18,109,104.52,102.2,68.34,111.16,120.91,194.25,74.85,87.55,124.34,132.09,86.88,83.02,107.13,93.49,142.95,93.35,148.85,100.26,91.68,91.28,116.7,115.24,103.15,117.44,126.72,69.93,73.62,103.56,118.35
1907,87.22,100.18,90.87,106.99,97.94,63.23,114.6,145.99,123.14,116.29,129.48,115.25,122.96,59.04,110.38,108.78,178.88,80.58,88.8,114.08,124.06,87.21,96.2,116.98,122.13,187.34,89.35,187.18,76.11,106.37,71.07,113.18,115.85,106.61,126.82,111.94,70.41,68.96,102.65,111.68
1908,91.26,96.48,89.71,103.84,98.28,66.59,120.13,126.91,163.01,123.22,132.6,126.03,80.09,65.18,74.46,87.7,104.66,82.3,83.89,89.92,99.14,97.1,87.37,121.51,75.84,151.94,91.26,128.21,69.57,75.51,70.12,110.54,107.62,91.26,108.92,92.32,82.55,65.23,111.02,97.78
1909,92.29,131.09,81.34,137.1,94.95,64.47,113.53,126.76,160.76,98.06,132.26,157.44,62.09,62.63,73.99,90.18,113.61,74,75.09,91.75,116.55,108.78,83.65,118.77,101.56,172.63,92.29,133.67,75.34,65.37,88.71,127.71,154.67,97.14,122.06,134.35,82.18,72.16,116.73,115.35
1910,88.08,110.39,86.88,155.89,95.18,65.75,87.86,131.81,134.99,93.75,127.9,137.28,60.27,55.24,69.55,90,114.66,70.87,78.5,100.86,113.63,97.34,92.52,101.19,78.29,160.78,88.38,153.23,75.42,58.92,104.5,144.36,159.09,113.18,114.04,156.93,84.95,71.18,109.85,102.6
1911,87.78,114.24,82.39,116.19,94.33,68.91,84.97,179.15,136.44,122.69,142.19,123.03,54.33,55.24,67.58,89.39,112.07,70.87,69.17,124.99,119.05,88.15,74.47,96.02,86.23,160.78,88.38,202.06,75.83,62.08,144.67,125.73,104.84,111.64,119.74,126.58,94.32,71.78,113.14,89.97
1912,86.3,136.84,86.6,129.43,95.75,69.85,101.53,108.3,156.71,138.68,109.41,128.12,58.26,46.39,87.4,88.58,92.86,69.43,67.23,133.53,141.09,82.67,71.86,94.8,83.96,152.19,86.6,209.15,85.53,64.44,153.75,111.62,109.89,104.83,122.91,120.16,79.86,71.2,114.64,98.97
1913,83.34,140.24,89.1,138.22,96.21,68.38,145.43,109.38,138.3,106.32,100.53,113.95,61.19,45.42,79.97,84.79,102.75,71.38,72.68,125.5,111.98,89.09,76.49,89.51,78.85,150.76,84.79,201.75,76.42,70.16,112.69,120.13,128.65,110.07,123.08,95.71,58.42,70.57,115.96,84.79
1914,80.85,155,91.12,136.72,94.5,71.14,114.66,110.63,153.37,99.26,136.15,120.73,47.78,42,70.56,74.2,99.45,69.04,60,96.38,101.47,85.57,62.91,82.13,80.94,154.54,84,201.06,65.21,62,82.58,103.14,89.8,119.39,113.81,71.11,78.36,69.91,117.27,88.5
1915,171.99,183.81,106.41,115.94,90.81,71.57,94.22,106.78,159.21,100.02,139.45,154.88,87.15,49.25,89.2,89.31,105.89,68.68,68,107.88,272.9,109.65,65.08,68.67,116.26,142.58,83.57,208.85,72.35,83.08,75.93,97.05,173.49,124.63,110.53,71.66,97.75,67.31,122.16,105.96
1916,171.55,182.34,101.15,144.92,97.1,65.02,174.22,151.13,165.88,84.51,171.03,149.13,142.01,60.11,128.53,120.1,164.19,64.4,117.84,111.27,239.66,58.14,78.13,63.51,583.38,123.44,76.5,338.29,89.49,64.66,86.83,133.06,240.59,163.77,118.46,77.73,118.13,61.61,116.68,114.77
1917,141.73,179.92,92.64,197.3,137.98,60.49,209.02,191.89,274.22,60.53,219.25,212.64,99.42,66.9,106.59,127.71,127.97,53.45,137.64,131.25,133.6,62.82,84.3,53.24,452.29,137.69,63.49,346.16,88.09,42.33,71.14,172.51,281.57,199.37,143.37,62.68,103.65,65.2,134.49,178.04
1918,162.15,117.6,99.87,187.82,134.09,61.57,215.3,126.29,226.33,58.67,160.75,169.89,55.54,113.89,82.23,91.65,171.13,44.42,97.02,160.44,102.61,57.51,79.58,49.68,376.79,120.54,54.05,303.63,85,41.51,64.14,182,243.04,154.55,113.33,41.85,80.98,64.93,190.06,175.68
