"N" "B" "D"
"1751" 1767163 69291 46902
"1752" 1783856 64973 49467
"1753" 1802018 66007 43905
"1754" 1820642 68759 48645
"1755" 1839256 70008 51090
"1756" 1855745 67987 52062
"1757" 1867699 61675 55829
"1758" 1872446 63262 60527
"1759" 1873780 63865 49162
"1760" 1881862 68384 46721
"1761" 1898438 67324 49143
"1762" 1918056 68268 59994
"1763" 1932805 68231 64180
"1764" 1944028 67988 53364
"1765" 1955850 65872 54566
"1766" 1968362 67061 49726
"1767" 1983170 70744 51272
"1768" 1996978 67719 54751
"1769" 2007489 66954 54991
"1770" 2017926 67172 53071
"1771" 2030534 65988 56827
"1772" 2035749 58972 76362
"1773" 2016455 51164 105139
"1774" 1991588 68520 44463
"1775" 1997393 71642 49949
"1776" 2020159 66869 45692
"1777" 2040092 67693 51096
"1778" 2057174 71901 55028
"1779" 2073160 76387 59325
"1780" 2092917 75122 45731
"1781" 2115225 71130 54313
"1782" 2131808 68488 58247
"1783" 2139785 64969 60213
"1784" 2143550 67605 63792
"1785" 2146105 67497 60770
"1786" 2150159 70935 55951
"1787" 2156211 68328 51998
"1788" 2163632 74019 57320
"1789" 2167483 70127 69583
"1790" 2164198 66710 63598
"1791" 2164879 71613 55946
"1792" 2182254 81063 52958
"1793" 2211134 77033 54376
"1794" 2240510 76429 53377
"1795" 2265246 72947 63619
"1796" 2284012 79446 56474
"1797" 2303340 80374 55036
"1798" 2325125 78593 53862
"1799" 2344926 75274 59192
"1800" 2354189 67555 73928
"1801" 2354278 70629 61317
"1802" 2360724 74963 56035
"1803" 2376420 74644 56577
"1804" 2393815 76443 59584
"1805" 2410798 76552 56663
"1806" 2424756 74581 65728
"1807" 2431799 75842 62318
"1808" 2431251 73963 82311
"1809" 2415344 64300 93532
"1810" 2391775 78916 75607
"1811" 2385095 84862 69246
"1812" 2396460 81079 73095
"1813" 2408567 72021 66266
"1814" 2420311 75837 60959
"1815" 2439229 85239 57829
"1816" 2467151 87644 56225
"1817" 2496869 83821 60863
"1818" 2522986 85714 61745
"1819" 2545315 84250 69881
"1820" 2564747 84841 62930
"1821" 2586359 92072 66416
"1822" 2613960 94309 59390
"1823" 2648844 98259 56067
"1824" 2688620 93577 56256
"1825" 2729589 100315 56465
"1826" 2769921 97125 63027
"1827" 2803627 88138 64920
"1828" 2828241 95354 75860
"1829" 2847753 99488 82719
"1830" 2866518 94626 69251
"1831" 2886418 88253 75274
"1832" 2904134 89862 68078
"1833" 2927418 100309 63947
"1834" 2957254 100231 76294
"1835" 2988723 98144 55738
"1836" 3024423 96857 60763
"1837" 3056255 94616 75611
"1838" 3076178 90565 74309
"1839" 3091190 91363 72988
"1840" 3111082 98160 63555
"1841" 3140275 95734 61279
"1842" 3174111 100976 67177
"1843" 3207040 99154 69115
"1844" 3239777 104693 66009
"1845" 3276770 103660 62074
"1846" 3313870 99703 72683
"1847" 3341981 99179 79405
"1848" 3366610 102524 66513
"1849" 3399840 112304 67842
"1850" 3440865 110399 68514
"1851" 3480885 111065 72506
"1852" 3514057 108305 80090
"1853" 3539622 111407 84047
"1854" 3567988 120107 70846
"1855" 3605026 115072 77734
"1856" 3640807 115082 79618
"1857" 3668420 119349 101491
"1858" 3695129 129039 80498
"1859" 3735679 131605 75720
"1860" 3792612 133162 67502
"1861" 3860352 126634 71829
"1862" 3912845 131584 84350
"1863" 3957732 134279 77227
"1864" 4012127 136004 81937
"1865" 4061311 134281 79216
"1866" 4109786 136989 82666
"1867" 4156929 128832 82072
"1868" 4194860 114955 87807
"1869" 4195000 117677 92775
"1870" 4181460 119838 82449
"1871" 4169168 127333 72046
"1872" 4206492 126983 68802
"1873" 4248963 131643 73525
"1874" 4293739 133249 87760
"1875" 4331741 135958 88439
"1876" 4372410 135890 86334
"1877" 4430491 138476 83175
"1878" 4485603 134464 81418
"1879" 4532930 139043 77152
"1880" 4579620 134262 82753
"1881" 4566020 132804 80800
"1882" 4573100 134300 79406
"1883" 4579636 132875 79487
"1884" 4604389 138745 81077
"1885" 4645245 137308 82781
"1886" 4683415 139882 78045
"1887" 4718093 140169 76227
"1888" 4735676 136451 75831
"1889" 4749158 132069 76124
"1890" 4775820 133597 81824
"1891" 4785018 135516 80603
"1892" 4802740 129622 85894
"1893" 4806790 131729 81027
"1894" 4824325 131409 79444
"1895" 4873305 134599 74368
"1896" 4919512 134308 77259
"1897" 4962855 132999 76558
"1898" 5010294 136523 75949
"1899" 5063854 133882 89678
"1900" 5098534 138139 86146
"1901" 5136472 139370 82772
"1902" 5175299 137364 79722
"1903" 5198983 133896 78610
"1904" 5221671 134952 80152
"1905" 5261305 135409 82443
"1906" 5295497 136620 76366
"1907" 5337816 136793 78149
"1908" 5378609 138874 80568
"1909" 5430681 139505 74538
"1910" 5477810 135625 77212
"1911" 5522704 132977 76462
"1912" 5562180 132868 79241
"1913" 5604656 130200 76724
"1914" 5639304 129458 78311
"1915" 5680476 122997 83587
"1916" 5713718 121679 77771
"1917" 5758612 120855 77385
"1918" 5802022 117955 104591
"1919" 5815162 115193 84289
"1920" 5848420 138753 78128
"1921" 5904600 127723 73536
"1922" 5954498 116946 76343
"1923" 5987816 113435 68424
"1924" 6006115 109055 72001
"1925" 6036456 106292 70918
"1926" 6054084 102007 71344
"1927" 6074943 97994 77219
"1928" 6088554 97868 73267
"1929" 6105895 92861 74538
"1930" 6120848 94220 71790
"1931" 6142366 91074 77121
"1932" 6163359 89779 71459
"1933" 6191322 85020 69607
"1934" 6211654 85092 69921
"1935" 6233219 85906 72813
"1936" 6250627 88938 74836
"1937" 6267061 90373 75392
"1938" 6284986 93946 72693
"1939" 6310547 97380 72876
"1940" 6341621 95778 72748
"1941" 6371448 99727 71910
"1942" 6406431 113961 63741
"1943" 6458225 125392 66105
"1944" 6522914 134991 72284
"1945" 6597460 135373 71901
"1946" 6673928 132597 70635
"1947" 6763870 128779 73579
"1948" 6842145 126683 67693
"1949" 6924968 121272 69537
"1950" 6986151 115414 70296
"1951" 7046906 110168 69799
"1952" 7098696 110192 68270
"1953" 7150532 110144 69553
"1954" 7192266 105096 69030
"1955" 7234541 107305 68634
"1956" 7290011 107960 70205
"1957" 7341017 107168 73132
"1958" 7392690 105502 71065
"1959" 7435820 104743 70889
"1960" 7471084 102219 75093
"1961" 7497898 104501 73555
"1962" 7541943 107284 76791
"1963" 7581032 112903 76460
"1964" 7627409 122664 76661
"1965" 7695094 122806 78194
"1966" 7770997 123354 78440
"1967" 7840246 121360 79783
"1968" 7892672 113087 82476
"1969" 7931630 107622 83352
"1970" 8004421 110150 80026
"1971" 8081223 114484 82717
"1972" 8115007 112273 84056
"1973" 8129730 109663 85640
"1974" 8144422 109874 86316
"1975" 8176699 103632 88208
"1976" 8208422 98345 90677
"1977" 8236229 96057 88202
"1978" 8267178 93248 89681
"1979" 8284465 96255 91074
"1980" 8303072 97064 91800
"1981" 8318005 94065 92034
"1982" 8323146 92748 90671
"1983" 8327567 91780 90791
"1984" 8330623 93889 90483
"1985" 8342665 98463 94032
"1986" 8358179 101950 93295
"1987" 8381565 104699 93307
"1988" 8414090 112080 96743
"1989" 8458817 116023 92110
"1990" 8526911 123938 95161
"1991" 8590408 123737 95202
"1992" 8643782 122848 94710
"1993" 8691648 117998 97008
"1994" 8744641 112257 91844
"1995" 8815733 103422 93955
"1996" 8836649 95297 94133
"1997" 8843500 90502 93326
"1998" 8846653 89028 93271
"1999" 8853491 88173 94726
"2000" 8860709 90441 93461
"2001" 8882045 91466 93752
"2002" 8908361 95815 95009
"2003" 8940024 99157 92961
"2004" 8974935 100928 90532
"2005" 9010729 101346 91710
"2006" 9047157 105913 91177
"2007" 9112704 107421 91729
"2008" 9182531 109301 91449
"2009" 9255989 111801 90080
"2010" 9340336 115641 90487
"2011" 9415315 111770 89938
"2012" 9482656 113177 91938
"2013" 9555750 113593 90402
"2014" 9644832 114907 88977
