"Year" "Female"
"1" 1947 53.68
"2" 1948 58.66
"3" 1949 59.47
"4" 1950 60.91
"5" 1951 62.58
"6" 1952 64.68
"7" 1953 65.09
"8" 1954 66.6
"9" 1955 67.78
"10" 1956 67.68
"11" 1957 67.63
"12" 1958 69.33
"13" 1959 69.77
"14" 1960 70.15
"15" 1961 70.84
"16" 1962 71.13
"17" 1963 72.28
"18" 1964 72.77
"19" 1965 72.84
"20" 1966 73.66
"21" 1967 73.95
"22" 1968 74.29
"23" 1969 74.62
"24" 1970 74.67
"25" 1971 75.48
"26" 1972 75.93
"27" 1973 76.01
"28" 1974 76.36
"29" 1975 76.86
"30" 1976 77.28
"31" 1977 77.85
"32" 1978 78.21
"33" 1979 78.75
"34" 1980 78.75
"35" 1981 79.15
"36" 1982 79.71
"37" 1983 79.81
"38" 1984 80.25
"39" 1985 80.53
"40" 1986 80.96
"41" 1987 81.41
"42" 1988 81.31
"43" 1989 81.78
"44" 1990 81.84
"45" 1991 82.15
"46" 1992 82.27
"47" 1993 82.43
"48" 1994 82.88
"49" 1995 82.76
"50" 1996 83.49
"51" 1997 83.72
"52" 1998 83.91
"53" 1999 83.91
"54" 2000 84.53
"55" 2001 84.85
"56" 2002 85.16
"57" 2003 85.26
"58" 2004 85.52
"59" 2005 85.44
"60" 2006 85.73
"61" 2007 85.92
"62" 2008 85.99
"63" 2009 86.38
"64" 2010 86.29
"65" 2011 85.92
"66" 2012 86.43
"67" 2013 86.63
"68" 2014 86.84
