"x" "cx" "yx"
"1" 0 1439224.481 0
"2" 1 1190926.762 0
"3" 2 1218833.357 0
"4" 3 1330481.083 0
"5" 4 1454131.595 0
"6" 5 1486862.992 0
"7" 6 2273436.155 0
"8" 7 2214172.038 0
"9" 8 2240574.456 0
"10" 9 2326382.807 0
"11" 10 2373420.666 0
"12" 11 2467077.693 0
"13" 12 2607956.736 0
"14" 13 2715443.85 0
"15" 14 2834164.531 0
"16" 15 2882397.695 0
"17" 16 2901217.791 726.296153
"18" 17 3113740.192 4564.0895
"19" 18 2653738.818 88609.1552
"20" 19 2681836.047 341776.241
"21" 20 2677044.774 599255.2725
"22" 21 2740311.537 916482.598
"23" 22 2421219.486 1241933.324
"24" 23 2329798.741 1576060.158
"25" 24 2272668.902 1889738.501
"26" 25 2328503.487 2152287.534
"27" 26 2363784.22 2377304.107
"28" 27 2376637.253 2540174.69
"29" 28 2371237.607 2650154.019
"30" 29 2387281.485 2751578.789
"31" 30 2369060.404 2848904.637
"32" 31 2373108.728 2897131.398
"33" 32 2397156.062 2970943.526
"34" 33 2408472.894 3083046.169
"35" 34 2395249.34 3176946.046
"36" 35 2400533.968 3340931.045
"37" 36 2384941.271 3466391.342
"38" 37 2346873.093 3611461.552
"39" 38 2360892.856 3710510.995
"40" 39 2353227.602 3866224.846
"41" 40 2343156.512 3971186.782
"42" 41 2331391.873 4076742.297
"43" 42 2322942.592 4179810.85
"44" 43 2312516.81 4369318.18
"45" 44 2327204.872 4449268.443
"46" 45 2365359.022 4539181.689
"47" 46 2384112.339 4667246.002
"48" 47 2425493.043 4766157.55
"49" 48 2439957.726 4751131.294
"50" 49 2461558.709 4697010.036
"51" 50 2477230.956 4650022.462
"52" 51 2542308.515 4569318.475
"53" 52 2580903.858 4492035.003
"54" 53 2655224.539 4436802.103
"55" 54 2737107.43 4438313.162
"56" 55 2803620.725 4336801.479
"57" 56 2862059.94 4225124.534
"58" 57 2921547.763 4072735.831
"59" 58 2956274.625 3698773.298
"60" 59 3001410.872 3273114.334
"61" 60 3039121.788 2807951.389
"62" 61 3061529.276 2321812.822
"63" 62 3086172.115 1818611.744
"64" 63 3124916.721 1447902.563
"65" 64 3128547.32 1189688.301
"66" 65 3127559.103 995400.5373
"67" 66 3156770.496 816235.743
"68" 67 3160512.296 673315.4369
"69" 68 3182693.075 582586.7171
"70" 69 3202054.075 512943.4037
"71" 70 3235692.432 514669.5338
"72" 71 3226808.039 468721.6561
"73" 72 3268960.771 434860.6456
"74" 73 3268625.138 428171.3976
"75" 74 3296962.592 380779.1974
"76" 75 3322050.941 306917.9559
"77" 76 3348640.315 280601.7028
"78" 77 3368772.381 236207.4773
"79" 78 3383221.255 174703.7675
"80" 79 3382357.459 152313.7623
"81" 80 3388346.192 122790.7467
"82" 81 3377192.717 105934.0009
"83" 82 3421295.08 113004.2119
"84" 83 3500235.71 112466.3983
"85" 84 3533794.375 88784.42493
"86" 85 3578321.894 72430.13235
"87" 86 3626808.977 50104.48459
"88" 87 3801802.099 24362.18642
"89" 88 3893257.142 11558.91658
"90" 89 3985238.998 12009.00094
"91" 90 4077220.854 12459.08529
"92" 91 4077220.854 12459.08529
"93" 92 4077220.854 12459.08529
"94" 93 4077220.854 12459.08529
"95" 94 4077220.854 12459.08529
"96" 95 4077220.854 12459.08529
"97" 96 4077220.854 12459.08529
"98" 97 4077220.854 12459.08529
"99" 98 4077220.854 12459.08529
"100" 99 4077220.854 12459.08529
"101" 100 4077220.854 12459.08529
"102" 101 4077220.854 12459.08529
"103" 102 4077220.854 12459.08529
"104" 103 4077220.854 12459.08529
"105" 104 4077220.854 12459.08529
"106" 105 4077220.854 12459.08529
"107" 106 4077220.854 12459.08529
"108" 107 4077220.854 12459.08529
"109" 108 4077220.854 12459.08529
"110" 109 4077220.854 12459.08529
"111" 110 4077220.854 12459.08529
