"1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015"
"0" 1855504 2556684 2574462 2551884 2266171 2064338 1944604 1811329 1718212 1683513 1622596 1532070 1609696 1593355 1561461 1562666 1590710 1632791 1686220 1740020 1366045 1902321 1846873 1867598 1875397 1981238 2031447 2069887 2005175 1895777 1817227 1740385 1693313 1625423 1572318 1519929 1506173 1499213 1475690 1421098 1375595 1339677 1304501 1243599 1210966 1217248 1203511 1183835 1219259 1183219 1185310 1190235 1190331 1173903 1163465 1163147 1147730 1117107 1092810 1059566 1086697 1084090 1082996 1057749 1043133 1052895 1031912 1024543 1005404
"1" 1641777 1761428 2457380 2496010 2440610 2217503 2036326 1912503 1784145 1691923 1670008 1598724 1517241 1570312 1577088 1551465 1550884 1577599 1618777 1666488 1720945 1402400 1865365 1828173 1853475 1876738 1981529 2031672 2053112 1987986 1893298 1812137 1734571 1684096 1613610 1570105 1516764 1502069 1493683 1464053 1419153 1370953 1334912 1293994 1244574 1211323 1212283 1199728 1181778 1188125 1175448 1177802 1183145 1179443 1157055 1157114 1156226 1139855 1105678 1090348 1057454 1078434 1076229 1070157 1036345 1041139 1051509 1030538 1023398
"2" 1921491 1608804 1740249 2396294 2464817 2418768 2201132 2026152 1898337 1773192 1687672 1667192 1587778 1512066 1548214 1575650 1550135 1547143 1571083 1612458 1666913 1706723 1442189 1833144 1816992 1853796 1891730 1984665 2023981 2042478 1988690 1892774 1808967 1730573 1678210 1613631 1569417 1515032 1499317 1490541 1464967 1418385 1367334 1331148 1286955 1245677 1212626 1208292 1196786 1180508 1186382 1174279 1176675 1181105 1176556 1157122 1157096 1155320 1137888 1105488 1088427 1055877 1070669 1068977 1057806 1035028 1040139 1050735 1030019
"3" 1963369 1898611 1601511 1728163 2356338 2450640 2407301 2190286 2020811 1889520 1769613 1685782 1667250 1578734 1509392 1549018 1575922 1550270 1544550 1566645 1612325 1668391 1693396 1482648 1809633 1817672 1865028 1907476 1977774 2018840 2042880 1990173 1892840 1806367 1727929 1677991 1614180 1569185 1513660 1497656 1491153 1466140 1417921 1364027 1328648 1287903 1246985 1214104 1204586 1194085 1179087 1184955 1173299 1175967 1181298 1177590 1158652 1156535 1153698 1137015 1105413 1086633 1054418 1063019 1061820 1056961 1034713 1039838 1050563
"4" 1989678 1945914 1890956 1598064 1720934 2347558 2445134 2401638 2183350 2018390 1885227 1767945 1685915 1668555 1572428 1509376 1550772 1576951 1550961 1542816 1566172 1612626 1670150 1680411 1513223 1810599 1828709 1876697 1913183 1973033 2019572 2043651 1991842 1893155 1804579 1728130 1677949 1614858 1569087 1512948 1498277 1491908 1467463 1417566 1361651 1329234 1288932 1248400 1215696 1200904 1193317 1178034 1184344 1173215 1177561 1182436 1180007 1158978 1156282 1153367 1136183 1105428 1084909 1052988 1055415 1060995 1056615 1034542 1039570
"5" 1983211 1975928 1938540 1886938 1596776 1715142 2344645 2444078 2399598 2179732 2014472 1882480 1767849 1686952 1669417 1571346 1510135 1553055 1578484 1551776 1542567 1566087 1613162 1672111 1670931 1513494 1822973 1839957 1878335 1917935 1973974 2020492 2044656 1993770 1893502 1805066 1728487 1678048 1615645 1569242 1513749 1499014 1492759 1468873 1417206 1361904 1329825 1290000 1249880 1217340 1200599 1192916 1177774 1189866 1190929 1177603 1182923 1179123 1162783 1157685 1153084 1135383 1105442 1083207 1051584 1054704 1060678 1056370 1034456
"6" 1839459 1973166 1968040 1933161 1884531 1593406 1711946 2344516 2445232 2399387 2177026 2011814 1881140 1768549 1687688 1666804 1570878 1511288 1555710 1579768 1552348 1542627 1566134 1613777 1673686 1671605 1523289 1835544 1841385 1879965 1919015 1975027 2021531 2045794 1995256 1893581 1805587 1728918 1678255 1616454 1569881 1514572 1499773 1493633 1469845 1416779 1362182 1330478 1291146 1251367 1217260 1200119 1192734 1180751 1198810 1189788 1176735 1180755 1180913 1163772 1159107 1152835 1134626 1105483 1081520 1051086 1054465 1060552 1056201
"7" 1639413 1833192 1966667 1961565 1929795 1881923 1591397 1709771 2345778 2446830 2397515 2175293 2010190 1880389 1769439 1685631 1664676 1570768 1512694 1557892 1579764 1553131 1542754 1566308 1614568 1674002 1682872 1533200 1837062 1842744 1881194 1920143 1976270 2022698 2046739 1995300 1893775 1806227 1729421 1678610 1617134 1570508 1515447 1500586 1494240 1469431 1416374 1362479 1331175 1292270 1251426 1217239 1200139 1194669 1186047 1197820 1190264 1175986 1180526 1181325 1164781 1160537 1152597 1133872 1105552 1081146 1050990 1054499 1060477
"8" 1667641 1633041 1829579 1961497 1957498 1928512 1880378 1590083 1708405 2347529 2445779 2396328 2174226 2008956 1880299 1768976 1683909 1662779 1570800 1514075 1558057 1579941 1554068 1543032 1566702 1615424 1684907 1694279 1533853 1838500 1843604 1882546 1921425 1977651 2023811 2046948 1995486 1893986 1806999 1729987 1679406 1617880 1571204 1516337 1501215 1494031 1469090 1416015 1362834 1331871 1292563 1251561 1217706 1201422 1197702 1185247 1198552 1189950 1176862 1181117 1181761 1165813 1161993 1152392 1133138 1105309 1080929 1050915 1054577
"9" 1759110 1665962 1628168 1826871 1957977 1958463 1928076 1879464 1589172 1707242 2348614 2445075 2395744 2173427 2008107 1880720 1768894 1682465 1661031 1570942 1514941 1558450 1580267 1555088 1543399 1567368 1626510 1695971 1695433 1534421 1839190 1844619 1883984 1922856 1978868 2024485 2047312 1995710 1894334 1807771 1730576 1680244 1618668 1571927 1516992 1501172 1493851 1468780 1415709 1363186 1332361 1292870 1252017 1218632 1203190 1197274 1186362 1198370 1190365 1176991 1181768 1182240 1166843 1163447 1152192 1133029 1105291 1081054 1051099
