"Year" "TFR"
"1" 1947 4.566
"2" 1948 4.444
"3" 1949 4.356
"4" 1950 3.672
"5" 1951 3.281
"6" 1952 2.995
"7" 1953 2.713
"8" 1954 2.502
"9" 1955 2.383
"10" 1956 2.236
"11" 1957 2.058
"12" 1958 2.129
"13" 1959 2.061
"14" 1960 2.008
"15" 1961 1.963
"16" 1962 1.974
"17" 1963 2.001
"18" 1964 2.045
"19" 1965 2.145
"20" 1966 1.579
"21" 1967 2.224
"22" 1968 2.127
"23" 1969 2.119
"24" 1970 2.129
"25" 1971 2.153
"26" 1972 2.138
"27" 1973 2.135
"28" 1974 2.04
"29" 1975 1.9
"30" 1976 1.84
"31" 1977 1.786
"32" 1978 1.774
"33" 1979 1.751
"34" 1980 1.731
"35" 1981 1.726
"36" 1982 1.755
"37" 1983 1.788
"38" 1984 1.8
"39" 1985 1.757
"40" 1986 1.719
"41" 1987 1.689
"42" 1988 1.657
"43" 1989 1.576
"44" 1990 1.543
"45" 1991 1.537
"46" 1992 1.506
"47" 1993 1.464
"48" 1994 1.507
"49" 1995 1.426
"50" 1996 1.43
"51" 1997 1.392
"52" 1998 1.388
"53" 1999 1.347
"54" 2000 1.358
"55" 2001 1.336
"56" 2002 1.318
"57" 2003 1.29
"58" 2004 1.287
"59" 2005 1.247
"60" 2006 1.301
"61" 2007 1.319
"62" 2008 1.347
"63" 2009 1.348
"64" 2010 1.379
"65" 2011 1.384
"66" 2012 1.396
"67" 2013 1.417
"68" 2014 1.413
